,Contracting Agency Name,Date Signed,Est. Ultimate Completion Date,Product or Service Description,Vendor Address State Name,National Interest Action,Action Obligation
3782,DEPT OF THE ARMY,2018-04-06,2018-10-05,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,719171.81
3783,DEPT OF THE ARMY,2018-04-02,2018-04-17,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,15969.37
3784,DEPT OF THE ARMY,2018-05-11,2018-07-10,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,105977.22
3785,DEPT OF THE ARMY,2018-05-07,2018-08-06,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,88500.0
3786,DEPT OF THE ARMY,2018-04-12,2018-06-10,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,10929.3
3787,DEPT OF THE ARMY,2018-04-26,2018-07-25,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,66122.64
3788,DEPT OF THE ARMY,2018-04-17,2018-07-16,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,47888.11
3789,DEPT OF THE ARMY,2018-04-18,2018-06-17,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,4781.6
3790,DEPT OF THE ARMY,2018-04-17,2018-06-17,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,8272.97
3791,DEPT OF THE ARMY,2018-05-03,2018-07-02,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,42388.25
3792,DEPT OF THE ARMY,2018-05-01,2018-06-30,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,19662.48
3793,DEPT OF THE ARMY,2018-05-07,2018-07-06,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,27649.5
3794,DEPT OF THE ARMY,2018-06-27,2019-06-25,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,63926.0
3795,DEPT OF THE ARMY,2018-06-15,2018-07-13,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,112284.02
3796,DEPT OF THE ARMY,2018-06-15,2018-07-11,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,4264.96
3797,DEPT OF THE ARMY,2018-06-27,2018-07-25,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,172497.72
3798,DEPT OF THE ARMY,2018-05-31,2018-06-14,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,20640.03
3799,DEPT OF THE ARMY,2018-06-25,2018-10-20,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,352007.57
3800,DEPT OF THE ARMY,2018-06-20,2018-09-19,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,71818.11
3801,DEPT OF THE ARMY,2018-06-25,2018-07-03,MAINT/REPAIR/REBUILD OF EQUIPMENT- MISCELLANEOUS,CALIFORNIA,HURRICANE MARIA 2017,92211.14
3802,DEPT OF THE ARMY,2017-09-29,2017-12-29,LEASE OR RENTAL OF EQUIPMENT- TOILETRIES,PUERTO RICO,HURRICANE MARIA 2017,24840.0
3803,DEPT OF THE ARMY,2017-09-29,2017-09-29,"GENERATORS AND GENERATOR SETS, ELECTRICAL",PUERTO RICO,HURRICANE MARIA 2017,8400.0
3804,DEPT OF THE ARMY,2017-12-19,2018-02-16,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,95950.0
3807,DEPT OF THE ARMY,2017-12-20,2018-02-20,REPAIR OR ALTERATION OF OTHER WAREHOUSE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,39000.0
3809,DEPT OF THE ARMY,2018-01-29,2018-03-02,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,212850.0
3811,DEPT OF THE ARMY,2018-01-24,2018-03-30,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,249879.68
3813,DEPT OF THE ARMY,2018-03-05,2018-06-15,MAINTENANCE OF OFFICE BUILDINGS,FLORIDA,HURRICANE MARIA 2017,96825.0
3815,DEPT OF THE ARMY,2018-03-08,2018-06-08,REPAIR OR ALTERATION OF OFFICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,178950.0
3817,DEPT OF THE ARMY,2018-05-05,2018-09-25,REPAIR OR ALTERATION OF OTHER NON-BUILDING FACILITIES,PUERTO RICO,HURRICANE MARIA 2017,145000.0
3818,DEPT OF THE ARMY,2018-06-21,2018-10-05,REPAIR OR ALTERATION OF OTHER UTILITIES,PUERTO RICO,HURRICANE MARIA 2017,44468.0
3819,DEPT OF THE ARMY,2017-10-10,2017-10-16,OFFICE SUPPLIES,NORTH CAROLINA,HURRICANE MARIA 2017,130286.85
3820,DEPT OF THE ARMY,2017-12-11,2018-01-31,OTHER ENVIRONMENTAL SERVICES,PUERTO RICO,HURRICANE MARIA 2017,11300.0
3821,DEPT OF THE ARMY,2018-05-07,2018-05-09,REPAIR OR ALTERATION OF OTHER ADMINISTRATIVE FACILITIES AND SERVICE BUILDINGS,PUERTO RICO,HURRICANE MARIA 2017,5463.5
3822,DEPT OF THE ARMY,2018-06-08,2020-12-31,HOUSEKEEPING- INSECT/RODENT CONTROL,NORTH CAROLINA,HURRICANE MARIA 2017,-44482.37
3823,DEPT OF THE ARMY,2018-06-08,2020-12-31,HOUSEKEEPING- INSECT/RODENT CONTROL,NORTH CAROLINA,HURRICANE MARIA 2017,-4439.45
3824,DEPT OF THE ARMY,2017-10-18,2017-11-15,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,4999997.55
3825,DEPT OF THE ARMY,2017-10-30,2017-11-30,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,1352375.0
3826,DEPT OF THE ARMY,2018-01-23,2017-11-30,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,-4768996.67
3827,DEPT OF THE ARMY,2018-01-11,2017-10-23,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,-1046871.3
3831,DEPT OF THE ARMY,2017-10-25,2017-12-30,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,OREGON,HURRICANE MARIA 2017,9774158.54
3833,DEPT OF THE ARMY,2017-11-14,2017-12-29,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,OREGON,HURRICANE MARIA 2017,16377.07
3834,DEPT OF THE ARMY,2018-01-30,2018-03-15,CONSTRUCTION OF HOSPITALS AND INFIRMARIES,OREGON,HURRICANE MARIA 2017,-1681346.24
3835,DEPT OF THE ARMY,2017-12-28,2018-02-26,PREFABRICATED AND PORTABLE BUILDINGS,MARYLAND,HURRICANE MARIA 2017,959000.0
3837,DEPT OF THE ARMY,2018-02-27,2018-04-01,PREFABRICATED AND PORTABLE BUILDINGS,MARYLAND,HURRICANE MARIA 2017,82000.0
3839,DEPT OF THE ARMY,2018-02-13,2018-05-27,PREFABRICATED AND PORTABLE BUILDINGS,OHIO,HURRICANE MARIA 2017,5872777.71
3840,DEPT OF THE ARMY,2018-03-12,2018-07-10,PREFABRICATED AND PORTABLE BUILDINGS,OHIO,HURRICANE MARIA 2017,3821.17
3843,DEPT OF THE ARMY,2018-02-02,2018-05-01,PREFABRICATED AND PORTABLE BUILDINGS,VIRGINIA,HURRICANE MARIA 2017,1275000.0
3846,DEPT OF THE ARMY,2018-02-17,2018-06-30,PREFABRICATED AND PORTABLE BUILDINGS,MARYLAND,HURRICANE MARIA 2017,6244407.0
3849,DEPT OF THE ARMY,2017-10-03,2017-11-03,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,6653990.05
3850,DEPT OF THE ARMY,2017-10-12,2017-11-03,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,572251.4
3851,DEPT OF THE ARMY,2017-10-13,2017-11-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,340681.76
3853,DEPT OF THE ARMY,2017-11-09,2017-12-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,2287765.8
3854,DEPT OF THE ARMY,2017-11-13,2017-11-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,28722.68
3855,DEPT OF THE ARMY,2017-12-07,2018-01-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,1917515.8
3857,DEPT OF THE ARMY,2017-12-27,2018-01-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,3649459.09
3858,DEPT OF THE ARMY,2017-12-29,2018-01-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,217245.0
3859,DEPT OF THE ARMY,2018-01-17,2018-03-07,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,11230253.2
3860,DEPT OF THE ARMY,2018-01-17,2018-03-07,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,227946.02
3861,DEPT OF THE ARMY,2018-01-31,2018-03-07,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,273948.28
3862,DEPT OF THE ARMY,2018-02-08,2018-03-07,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,-140389.31
3864,DEPT OF THE ARMY,2018-03-06,2018-04-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,1696723.41
3865,DEPT OF THE ARMY,2018-03-29,2018-04-06,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,3557167.0
3866,DEPT OF THE ARMY,2018-04-05,2018-04-30,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,812901.17
3867,DEPT OF THE ARMY,2018-04-20,2018-05-14,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,1185266.24
3870,DEPT OF THE ARMY,2018-06-13,2018-07-01,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,259668.0
3871,DEPT OF THE ARMY,2017-10-22,2017-11-19,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,6696000.0
3872,DEPT OF THE ARMY,2017-10-27,2017-12-31,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,3745500.0
3873,DEPT OF THE ARMY,2018-01-12,2017-12-31,REPAIR OR ALTERATION OF RESTORATION OF REAL PROPERTY (PUBLIC OR PRIVATE),VIRGIN ISLANDS OF THE U.S.,HURRICANE MARIA 2017,-6582392.25
3874,DEPT OF THE ARMY,2017-10-27,2017-11-24,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,357909.48
3875,DEPT OF THE ARMY,2017-12-23,2018-01-21,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,129808.76
3876,DEPT OF THE ARMY,2018-04-03,2018-01-21,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,-90774.65
3877,DEPT OF THE ARMY,2017-11-09,2018-05-30,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,5475206.12
3878,DEPT OF THE ARMY,2017-11-01,2018-05-29,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,155575.0
3879,DEPT OF THE ARMY,2017-11-09,2018-06-05,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,78740.0
3880,DEPT OF THE ARMY,2018-01-13,2018-03-15,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,6252265.6
3881,DEPT OF THE ARMY,2018-02-27,2018-04-15,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,945865.7
3882,DEPT OF THE ARMY,2018-04-14,2018-05-15,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,43386.3
3885,DEPT OF THE ARMY,2018-05-09,2018-08-19,SUPPORT- PROFESSIONAL: OPERATIONS RESEARCH/QUANTITATIVE ANALYSIS,MINNESOTA,HURRICANE MARIA 2017,10083404.81
3886,DEPT OF THE ARMY,2018-05-11,2018-11-30,TRANSPORTATION/TRAVEL/RELOCATION- TRANSPORTATION: VESSEL FREIGHT,NORTH CAROLINA,HURRICANE MARIA 2017,5942244.0
3887,DEPT OF THE ARMY,2017-09-27,2017-10-01,"FOOD, OILS AND FATS",SOUTH CAROLINA,HURRICANE MARIA 2017,5400.0
3889,DEPT OF THE ARMY,2017-09-27,2017-09-27,BAKERY AND CEREAL PRODUCTS,SOUTH CAROLINA,HURRICANE MARIA 2017,5535.0
3891,DEPT OF THE ARMY,2017-12-09,2018-03-19,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,2001842.0
3892,DEPT OF THE ARMY,2018-02-26,2018-03-19,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,60452.0
3893,DEPT OF THE ARMY,2018-03-19,2018-05-18,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,682000.0
3894,DEPT OF THE ARMY,2018-04-06,2018-05-18,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,39032.0
3895,DEPT OF THE ARMY,2017-12-09,2018-03-19,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,1551530.0
3896,DEPT OF THE ARMY,2018-02-02,2018-03-19,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,503150.0
3897,DEPT OF THE ARMY,2018-02-27,2018-04-07,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,506410.0
3898,DEPT OF THE ARMY,2018-03-28,2018-04-07,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,54740.0
3899,DEPT OF THE ARMY,2018-04-06,2018-06-01,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,1167360.0
3900,DEPT OF THE ARMY,2018-04-23,2018-06-01,QUALITY CONTROL- ELECTRICAL AND ELECTRONIC EQUIPMENT COMPONENTS,DISTRICT OF COLUMBIA,HURRICANE MARIA 2017,-30.0
3901,DEPT OF THE ARMY,2017-09-25,2017-09-27,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,4500.0
3902,DEPT OF THE ARMY,2017-09-27,2017-09-29,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,2136.0
3903,DEPT OF THE ARMY,2017-09-29,2017-10-02,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,3966.0
3904,DEPT OF THE ARMY,2017-09-28,2017-09-29,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,9920.0
3905,DEPT OF THE ARMY,2017-09-28,2017-09-29,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,3568.0
3906,DEPT OF THE ARMY,2017-09-29,2017-10-02,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,2285.0
3907,DEPT OF THE ARMY,2017-09-28,2017-09-29,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,4928.0
3908,DEPT OF THE ARMY,2017-09-29,2017-10-02,HOUSEKEEPING- FOOD,OHIO,HURRICANE MARIA 2017,7392.0
3909,DEPT OF THE ARMY,2017-12-01,2017-12-31,OFFICE SUPPLIES,,HURRICANE MARIA 2017,117707.95
0,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,172000.0
1,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,OHIO,HURRICANE HARVEY 2017,462000.0
2,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,FLORIDA,HURRICANE HARVEY 2017,465242.4
3,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,TEXAS,HURRICANE HARVEY 2017,10800.0
4,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,OHIO,HURRICANE HARVEY 2017,142848.0
5,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,INDIANA,HURRICANE HARVEY 2017,133000.0
6,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,1008858.24
7,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,MISSISSIPPI,HURRICANE HARVEY 2017,98784.0
8,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,747302.4
9,DEFENSE LOGISTICS AGENCY,2017-09-08,2017-09-05,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,-86550.4
10,ENVIRONMENTAL PROTECTION AGENCY,2017-09-06,2022-02-14,OTHER ENVIRONMENTAL SERVICES,LOUISIANA,HURRICANE HARVEY 2017,150000.0
11,DEPT OF THE ARMY,2018-03-26,2018-05-17,SUPPORT- MANAGEMENT: LOGISTICS SUPPORT,MARYLAND,HURRICANE HARVEY 2017,3826702.64
12,DEPT OF THE AIR FORCE,2017-09-29,2017-10-31,TRANSPORTATION/TRAVEL/RELOCATION- TRAVEL/LODGING/RECRUITMENT: PASSENGER MOTOR CHARTER,KENTUCKY,HURRICANE HARVEY 2017,8704.0
13,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,75000.0
14,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,OHIO,HURRICANE HARVEY 2017,142848.0
15,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,OHIO,HURRICANE HARVEY 2017,462000.0
16,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,INDIANA,HURRICANE HARVEY 2017,1235000.0
17,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,PENNSYLVANIA,HURRICANE HARVEY 2017,78321.6
18,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,747302.4
19,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,MISSISSIPPI,HURRICANE HARVEY 2017,98784.0
20,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,FLORIDA,HURRICANE HARVEY 2017,1302678.72
21,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-05,COMPOSITE FOOD PACKAGES,TEXAS,HURRICANE HARVEY 2017,10800.0
22,DEFENSE LOGISTICS AGENCY,2017-08-31,2017-09-01,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,2017716.48
23,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-03,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,247500.0
25,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-03,COMPOSITE FOOD PACKAGES,PENNSYLVANIA,HURRICANE HARVEY 2017,564.48
26,ENVIRONMENTAL PROTECTION AGENCY,2018-02-02,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,-115000.0
28,DEFENSE LOGISTICS AGENCY,2017-09-08,2017-09-08,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,-144174.7
30,DEFENSE LOGISTICS AGENCY,2017-09-12,2017-09-12,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,4.3
31,ENVIRONMENTAL PROTECTION AGENCY,2017-08-31,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,510000.0
32,ENVIRONMENTAL PROTECTION AGENCY,2017-09-04,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,150000.0
33,ENVIRONMENTAL PROTECTION AGENCY,2017-09-12,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,100000.0
34,ENVIRONMENTAL PROTECTION AGENCY,2017-09-24,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,400000.0
35,ENVIRONMENTAL PROTECTION AGENCY,2017-10-04,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,-210000.0
37,ENVIRONMENTAL PROTECTION AGENCY,2017-11-01,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,150000.0
38,ENVIRONMENTAL PROTECTION AGENCY,2017-11-15,2021-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,150000.0
39,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,INDIANA,HURRICANE HARVEY 2017,1235000.0
40,ENVIRONMENTAL PROTECTION AGENCY,2017-09-04,2018-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,1150000.0
41,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,PENNSYLVANIA,HURRICANE HARVEY 2017,78886.08
42,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,TEXAS,HURRICANE HARVEY 2017,10800.0
43,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,FLORIDA,HURRICANE HARVEY 2017,376992.0
44,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,MISSISSIPPI,HURRICANE HARVEY 2017,197568.0
45,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,322500.0
46,DEPT OF THE ARMY,2017-09-02,2017-09-03,HOUSEKEEPING- FOOD,OKLAHOMA,HURRICANE HARVEY 2017,4168.0
47,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,OHIO,HURRICANE HARVEY 2017,711480.0
48,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-05,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,149760.0
50,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-03,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,597542.4
51,DEFENSE LOGISTICS AGENCY,2017-09-08,2017-09-08,COMPOSITE FOOD PACKAGES,TENNESSEE,HURRICANE HARVEY 2017,-144170.4
52,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-03,COMPOSITE FOOD PACKAGES,GEORGIA,HURRICANE HARVEY 2017,1613364.48
53,ENVIRONMENTAL PROTECTION AGENCY,2017-09-07,2018-08-22,OPERATION OF OTHER WAREHOUSE BUILDINGS,VIRGINIA,HURRICANE HARVEY 2017,75000.0
54,DEFENSE LOGISTICS AGENCY,2017-09-01,2017-09-03,COMPOSITE FOOD PACKAGES,FLORIDA,HURRICANE HARVEY 2017,1670074.56
